transactionId,timestamp,customerId,customerName,accountId,receiverAccount,amountINR,transactionType,branch,deviceId,ipAddress,kycStatus,riskProfile,amlScenario,expectedRisk
TXN0300001,2025-05-02 21:37:00,CUST02011,Customer_07034,ACC14214,ACC57650,26592.61,UPI,Kolkata,DEV169548,10.165.139.105,VERIFIED,HIGH,NORMAL,LOW
TXN0300002,2025-12-10 15:59:00,CUST35852,Customer_06180,ACC02940,ACC03429,15858.9,CARD,Mumbai,DEV084649,10.3.218.137,VERIFIED,MEDIUM,NORMAL,LOW
TXN0300003,2025-02-10 03:06:00,CUST32937,Customer_18821,ACC39299,ACC26546,25280.99,NEFT,Mumbai,DEV079323,10.230.175.176,VERIFIED,LOW,NORMAL,LOW
TXN0300004,2025-05-15 09:21:00,CUST41453,Customer_14903,ACC21090,ACC12513,29002.06,CARD,Mumbai,DEV188911,10.82.184.84,VERIFIED,LOW,NORMAL,LOW
TXN0300005,2025-10-31 15:23:00,CUST13430,Customer_41297,ACC24501,ACC15636,19056.11,IMPS,Chennai,DEV124690,10.83.11.187,VERIFIED,LOW,NORMAL,LOW
TXN0300006,2025-08-11 07:15:00,CUST20745,Customer_25422,ACC33537,ACC36417,11679.81,CARD,Bengaluru,DEV058597,10.72.63.99,VERIFIED,MEDIUM,NORMAL,LOW
TXN0300007,2025-12-13 04:43:00,CUST21832,Customer_25876,ACC46623,ACC06702,1373.14,UPI,Delhi,DEV008233,10.75.61.141,PENDING,HIGH,NORMAL,LOW
TXN0300008,2025-03-23 22:30:00,CUST29716,Customer_08622,ACC22630,ACC23390,43111.65,UPI,Chennai,DEV050025,10.119.238.250,PENDING,HIGH,NORMAL,LOW
TXN0300009,2025-11-24 18:34:00,CUST30284,Customer_36389,ACC18942,ACC36934,41401.77,RTGS,Hyderabad,DEV140386,10.120.224.168,VERIFIED,HIGH,NORMAL,LOW
TXN0300010,2025-07-28 08:55:00,CUST06222,Customer_27748,ACC57030,ACC18866,46097.18,RTGS,Kolkata,DEV131803,10.92.108.223,PENDING,MEDIUM,NORMAL,LOW
TXN0300011,2025-04-04 05:04:00,CUST38014,Customer_23787,ACC07778,ACC04716,37899.01,IMPS,Mumbai,DEV137214,10.251.62.4,VERIFIED,LOW,NORMAL,LOW
TXN0300012,2025-09-24 08:14:00,CUST27949,Customer_06411,ACC37027,ACC25189,11252.13,CARD,Chennai,DEV016077,10.203.185.142,VERIFIED,LOW,NORMAL,LOW
TXN0300013,2025-04-11 14:15:00,CUST26107,Customer_16523,ACC58337,ACC59542,4502.93,CARD,Mumbai,DEV083917,10.116.145.173,VERIFIED,MEDIUM,NORMAL,LOW
TXN0300014,2025-10-22 11:25:00,CUST13155,Customer_25666,ACC44419,ACC27611,48843.31,RTGS,Mumbai,DEV177502,10.139.8.45,VERIFIED,MEDIUM,NORMAL,LOW
TXN0300015,2025-02-02 13:21:00,CUST24728,Customer_04669,ACC53781,ACC23352,28326.01,RTGS,Hyderabad,DEV128656,10.114.9.134,PENDING,MEDIUM,NORMAL,LOW
TXN0300016,2025-07-08 19:08:00,CUST38028,Customer_46043,ACC39829,ACC37877,6107.68,CARD,Kolkata,DEV097425,10.156.28.241,VERIFIED,LOW,NORMAL,LOW
TXN0300017,2025-11-24 17:09:00,CUST13223,Customer_09558,ACC26944,ACC23522,31363.02,IMPS,Kolkata,DEV046706,10.18.135.236,VERIFIED,HIGH,NORMAL,LOW
TXN0300018,2025-10-23 10:54:00,CUST17727,Customer_14145,ACC47006,ACC15228,24656.52,IMPS,Bengaluru,DEV198266,10.52.82.45,VERIFIED,LOW,NORMAL,LOW
TXN0300019,2025-10-20 01:10:00,CUST43362,Customer_01047,ACC12727,ACC03208,16041.2,CARD,Hyderabad,DEV128224,10.118.253.47,PENDING,HIGH,NORMAL,LOW
TXN0300020,2025-09-16 17:52:00,CUST09825,Customer_14099,ACC48344,ACC21520,2290.53,IMPS,Kolkata,DEV070831,10.165.105.44,VERIFIED,LOW,NORMAL,LOW
TXN0300021,2025-04-04 17:06:00,CUST46414,Customer_03224,ACC30697,ACC28555,8878.01,CARD,Chennai,DEV126406,10.249.225.80,VERIFIED,LOW,NORMAL,LOW
TXN0300022,2025-09-17 23:12:00,CUST09772,Customer_24148,ACC06996,ACC52335,47124.22,UPI,Hyderabad,DEV134234,10.16.215.231,VERIFIED,MEDIUM,NORMAL,LOW
TXN0300023,2025-01-04 14:10:00,CUST09462,Customer_19196,ACC20338,ACC26120,16061.04,RTGS,Delhi,DEV109959,10.76.139.9,VERIFIED,MEDIUM,NORMAL,LOW
TXN0300024,2025-09-15 20:47:00,CUST05937,Customer_10834,ACC49329,ACC05097,41854.76,IMPS,Chennai,DEV186935,10.81.154.241,VERIFIED,HIGH,NORMAL,LOW
TXN0300025,2025-09-11 03:50:00,CUST25655,Customer_00805,ACC50155,ACC19219,7925.29,IMPS,Hyderabad,DEV184186,10.11.255.33,PENDING,MEDIUM,NORMAL,LOW
TXN0300026,2025-10-15 23:40:00,CUST46299,Customer_41344,ACC53002,ACC14969,32496.42,IMPS,Mumbai,DEV060900,10.124.167.188,PENDING,MEDIUM,NORMAL,LOW
TXN0300027,2025-04-04 19:51:00,CUST29686,Customer_22761,ACC03943,ACC34255,37919.29,NEFT,Hyderabad,DEV015293,10.98.84.21,PENDING,MEDIUM,NORMAL,LOW
TXN0300028,2025-07-25 14:22:00,CUST00755,Customer_47600,ACC22634,ACC56551,9214.61,CARD,Kolkata,DEV087000,10.15.219.66,PENDING,LOW,NORMAL,LOW
TXN0300029,2025-11-05 19:23:00,CUST43439,Customer_39444,ACC10977,ACC10191,13148.84,CARD,Hyderabad,DEV001275,10.54.89.199,VERIFIED,LOW,NORMAL,LOW
